n,r,K,I,ratio
10001,114,1.021596244,83.82376475,1.331246262
11243,114,1.00008896,91.38891689,1.247305071
12639,281,2.228054826,99.68158526,1.265218433
14209,150,1.091909008,108.779577,1.262866505
15973,148,1.000062613,118.7544055,1.246191526
17957,178,1.000055695,129.7048101,1.372270518
20187,364,2.000892459,141.7216873,1.283634325
22695,567,2.877139208,154.9202624,1.272078638
25515,712,3.2,169.4170614,1.313326994
28683,483,2.000627943,185.3298369,1.302673135
32245,339,1.333540148,202.8163794,1.25340256
36251,300,1.000027587,222.0417285,1.351060119
40753,318,1.014415916,243.1681899,1.289152525
45815,655,1.896296296,266.4011712,1.29657897
51507,791,2.056509695,291.9580731,1.317422977
57905,584,1.37583831,320.067166,1.326185651
65097,930,2.00083022,350.9921718,1.324266155
73183,555,1.11127817,385.0287998,1.297110528
82273,590,1.037402835,422.4935238,1.346122319
92491,729,1.22369974,463.7377045,1.284636486
103979,695,1.000009618,509.1600248,1.364980128
116895,1921,2.667008942,559.1944127,1.288071792
131415,2169,2.666971115,614.3144214,1.323885816
147737,893,1.007523446,675.0444889,1.312997507
166089,2585,2.670385867,741.984353,1.304643274
186719,1182,1.116434407,815.7668777,1.297831157
209911,1317,1.112327004,897.1110334,1.319796877
235983,2843,2.222533066,986.8075807,1.296272034
265295,1913,1.349840657,1085.739787,1.305289103
298247,1565,1.000003353,1194.869047,1.309762569
335293,2247,1.271092637,1315.273635,1.344032451
376939,1920,1.014683915,1448.132688,1.306658494
423759,5366,2.562160338,1594.767807,1.313248472
476393,2289,1.003557951,1756.625382,1.298446867
535567,2551,1.007560838,1935.32668,1.308232385
602089,3008,1.080098422,2132.642141,1.305859682
676875,8684,2.823529412,2350.555071,1.308449809
760949,4078,1.200011039,2591.245009,1.311455327
855467,3732,1.000001169,2857.139814,1.306199864
961725,11017,2.666874659,3150.918667,1.311062971
1081181,4600,1.001930324,3475.552586,1.320980621
1215475,6753,1.333360759,3834.335707,1.320866563
1366449,13865,2.483942578,4230.913563,1.319301843
1536175,8373,1.366810809,4669.329223,1.311952739
1726983,13654,2.009735049,5154.065081,1.318169304
1941491,7426,1.000000515,5690.085713,1.305076329
2182645,11026,1.333336388,6282.901217,1.316188298
2453751,18562,2.03552831,6938.605528,1.314242247
2758531,10123,1.000000363,7663.968043,1.32085576
3101169,22395,2.003948896,8466.493692,1.319960198
3486365,16620,1.346004837,9354.496029,1.319969827
3919407,29327,2.147968712,10337.20447,1.320798544
4406237,16954,1.122400895,11424.84878,1.322128643
4953535,22160,1.333334679,12628.7757,1.316040733
5568813,37007,2.006045165,13961.57692,1.321322103
6260517,40761,2.000008626,15437.22325,1.320212306
7038135,66920,2.979314716,17071.1999,1.315756435
7912343,24698,1.000000126,18880.70865,1.308107515
8895135,82938,3.009877635,20884.82077,1.319392363
