q,count
3,234954223
5,234954222
7,220336056
11,205717313
13,220335478
17,192595800
19,179472646
23,163618891
29,167741730
31,140442888
37,167501061
41,135140177
43,121412644
47,125026815
53,116402214
59,107471396
61,130175678
67,90352813
71,85770315
73,107672735
79,74577386
83,69665532
89,83840366
97,87925969
101,69253927
103,57226953
107,57053283
109,78549436
113,57137650
127,46953101
131,46063056
137,48516180
139,40645394
149,41374899
151,34933002
157,54577515
163,27728583
167,35940237
173,32237401
179,31625791
181,47983326
191,24881604
193,39431616
197,26846439
199,21674224
211,19296576
223,15820407
227,20542887
229,35442068
233,21598528
239,18794302
241,28254337
251,14525100
257,17412058
263,13268463
269,15509002
271,12726534
277,22805329
281,13537625
283,9647168
293,11219580
307,9762384
311,9371914
313,19175866
317,9381807
331,7855529
337,16507405
347,9161039
349,15123762
353,7254097
359,8205049
367,6412375
373,12264837
379,5839367
383,6774558
389,7035890
397,9667744
401,5776786
409,9252001
419,5580636
421,8493581
431,4301082
433,6032971
439,4524954
443,3875377
449,4317827
457,5190225
461,4168844
463,3607711
467,3560344
479,2934623
487,3474108
491,2419837
499,2829479
503,2179986
509,3034277
521,2851129
523,2282979
541,4849058
547,2045604
557,2510511
563,1752923
569,1944058
571,1958306
577,3362720
587,1564478
593,1739136
599,1381996
601,3377766
607,1499296
613,3044088
617,1526249
619,1249540
631,1135889
641,1353433
643,983769
647,1069839
653,1074619
659,1008746
661,2455297
673,2157391
677,896699
683,779625
691,805284
701,771516
709,2057195
719,708250
727,692293
733,1410758
739,625348
743,588868
751,522760
757,1321730
761,624436
769,1190948
773,589635
787,419937
797,513793
809,441828
811,378823
821,350104
823,326186
827,525740
829,1029126
839,403686
853,681881
857,311345
859,257401
863,350114
877,679198
881,264307
883,212153
887,319897
907,201422
911,290665
919,178276
929,202104
937,491194
941,173565
947,230903
953,179086
967,131668
971,200371
977,150105
983,164359
991,122480
997,430398
1009,548807
1013,113770
1019,150033
1021,399977
1031,134095
1033,350933
1039,105960
1049,121297
1051,87781
1061,82043
1063,83693
1069,335490
1087,70120
1091,104655
1093,255408
1097,73197
1103,79900
1109,71025
1117,201938
1123,55080
1129,211652
1151,74923
1153,152598
1163,66049
1171,53372
1181,46771
1187,62810
1193,53197
1201,156350
1213,111004
1217,49016
1223,47883
1229,39588
1231,42764
1237,95327
1249,97145
1259,48079
1277,30744
1279,35829
1283,31170
1289,29206
1291,29149
1297,65837
1301,24294
1303,25321
1307,36500
1319,31231
1321,77065
1327,24462
1361,17219
1367,24369
1373,19770
1381,62201
1399,21319
1409,16417
1423,18029
1427,20545
1429,54298
1433,12189
1439,17216
1447,14785
1451,16139
1453,38712
1459,12055
1471,9819
1481,9933
1483,9528
1487,12154
1489,36364
1493,10839
1499,10991
1511,10394
1523,7723
1531,7348
1543,6394
1549,29513
1553,9625
1559,7981
1567,6407
1571,6126
1579,5592
1583,5345
1597,22836
1601,5197
1607,4480
1609,22433
1613,5932
1619,4174
1621,22827
1627,4241
1637,6056
1657,13492
1663,3892
1667,3475
1669,14422
1693,11166
1697,4564
1699,3141
1709,4156
1721,3050
1723,2620
1733,3216
1741,12067
1747,2344
1753,8338
1759,2151
1777,6444
1783,1576
1787,2523
1789,7089
1801,6675
1811,2705
1823,1915
1831,1569
1847,1617
1861,4735
1867,1330
1871,1667
1873,4276
1877,2570
1879,1128
1889,2226
1901,1656
1907,1076
1913,1735
1931,1234
1933,3415
1949,1405
1951,923
1973,1197
1979,1095
1987,890
1993,2401
1997,1223
1999,699
2003,933
2011,630
2017,2750
2027,622
2029,2286
2039,676
2053,1819
2063,571
2069,866
2081,788
2083,538
2087,406
2089,1784
2099,467
2111,361
2113,1087
2129,585
2131,463
2137,1274
2141,473
2143,351
2153,467
2161,1439
2179,364
2203,247
2207,234
2213,397
2221,1119
2237,373
2239,254
2243,257
2251,212
2267,163
2269,999
2273,248
2281,735
2287,200
2293,580
2297,263
2309,251
2311,157
2333,138
2339,232
2341,628
2347,161
2351,177
2357,202
2371,111
2377,488
2381,130
2383,101
2389,349
2393,117
2399,170
2411,141
2417,115
2423,120
2437,333
2441,87
2447,86
2459,88
2467,92
2473,235
2477,86
2503,53
2521,250
2531,77
2539,59
2543,63
2549,61
2551,56
2557,192
2579,57
2591,47
2593,177
2609,56
2617,143
2621,52
2633,43
2647,49
2657,30
2659,36
2663,29
2671,45
2677,128
2683,26
2687,14
2689,156
2693,20
2699,38
2707,23
2711,29
2713,90
2719,29
2729,25
2731,20
2741,22
2749,98
2753,22
2767,21
2777,24
2789,15
2791,9
2797,66
2801,16
2803,14
2819,28
2833,60
2837,14
2843,18
2851,12
2857,60
2861,9
2879,18
2887,9
2897,4
2903,10
2909,9
2917,42
2927,19
2939,7
2953,41
2957,10
2963,12
2969,5
2971,8
2999,5
3001,54
3011,5
3019,2
3023,7
3037,29
3041,2
3049,32
3061,32
3067,4
3079,4
3083,4
3089,4
3109,26
3119,5
3121,27
3137,3
3163,1
3167,3
3169,14
3181,6
3187,3
3191,3
3203,1
3209,2
3217,8
3221,2
3229,11
3251,2
3253,7
3257,2
3259,3
3271,3
3299,2
3301,14
3307,3
3313,3
3319,2
3323,4
3329,4
3361,6
3371,3
3373,7
3389,2
3391,1
3407,2
3413,2
3433,6
3449,3
3457,3
3461,1
3463,1
3467,1
3469,1
3491,1
3499,1
3517,1
3529,1
3533,1
3539,1
3541,1
3547,1
3557,1
3559,1
3571,1
3581,3
3583,2
3617,2
3637,2
3643,1
3673,1
3691,1
3697,2
3767,1
3769,1
3793,1
3821,1
3823,1
3889,3
4021,1
4201,1
4507,1
4861,1
