q,count
2,37607912017
3,35737326797
5,32148948194
7,31601966228
11,27352886422
13,26787269174
17,21718704466
19,23292383497
23,18781308745
29,17290476995
31,18573858182
37,15834136590
41,13387798694
43,13718215365
47,10803513764
53,9908267304
59,9001204642
61,11039328235
67,9598932592
71,7143162217
73,7798326738
79,7674684873
83,5790309146
89,5195837760
97,5982582587
101,4348300782
103,5051798391
107,3758573000
109,4870843833
113,3234498658
127,3939785767
131,2797524449
137,2516101801
139,3502494602
149,2253745958
151,3190598776
157,2476253837
163,2310918079
167,1784887267
173,1546165385
179,1489738596
181,2138740334
191,1263750555
193,1641831885
197,1083432719
199,1609582503
211,1453721944
223,1102365340
227,875031734
229,1092389001
233,797658185
239,758530814
241,909217325
251,667565274
257,517379276
263,508636076
269,460291856
271,800702445
277,714204981
281,395488196
283,568403976
293,346106067
307,545039033
311,292033440
313,452352822
317,252622046
331,477830930
337,390062491
347,216867931
349,362006817
353,201539566
359,195308280
367,282621427
373,258398904
379,270286270
383,155908748
389,157341580
397,201151325
401,123787550
409,182412574
419,119398850
421,181203058
431,96980373
433,134209307
439,132385736
443,79636601
449,81527132
457,114408480
461,68665643
463,97489042
467,60009741
479,52604477
487,85548604
491,47841683
499,86742144
503,42900097
509,36806698
521,31336794
523,62886691
541,68363058
547,52877243
557,29876361
563,24800840
569,22328292
571,54393875
577,38418755
587,21076497
593,17949392
599,16167725
601,41559133
607,29722333
613,30814323
617,15222304
619,28762869
631,27269167
641,12556703
643,20205704
647,10811664
653,9599484
659,9088048
661,19476314
673,15542380
677,7753278
683,6933360
691,15720938
701,6419230
709,15437563
719,5454568
727,10993832
733,9240666
739,10585950
743,4579450
751,8778209
757,7138040
761,4372268
769,6954056
773,3450954
787,5061064
797,3600174
809,3069062
811,5268614
821,2697410
823,4660728
827,2446664
829,4279434
839,2220083
853,3061192
857,1859084
859,3534028
863,1597016
877,2703360
881,1649422
883,2405337
887,1246708
907,2224936
911,1205441
919,2300266
929,1012177
937,1480216
941,923214
947,814169
953,766933
967,1334822
971,605704
977,567142
983,546711
991,1666881
997,997743
1009,1252677
1013,446371
1019,465472
1021,1080154
1031,368734
1033,899921
1039,852327
1049,362182
1051,786653
1061,279887
1063,563665
1069,579914
1087,451572
1091,251506
1093,439883
1097,221926
1103,203821
1109,197333
1117,350053
1123,327174
1129,352395
1151,143119
1153,256384
1163,146728
1171,299617
1181,110086
1187,118823
1193,98009
1201,241618
1213,184478
1217,98948
1223,76392
1229,77268
1231,185011
1237,144258
1249,148797
1259,70735
1277,54720
1279,129339
1283,49462
1289,49876
1291,115638
1297,82781
1301,40147
1303,79609
1307,33503
1319,32917
1321,79265
1327,62502
1361,25383
1367,24549
1373,23736
1381,64158
1399,53540
1409,21851
1423,45384
1427,17873
1429,45690
1433,13528
1439,14681
1447,33669
1451,13225
1453,32123
1459,31036
1471,30975
1481,10285
1483,20671
1487,9160
1489,22294
1493,8677
1499,8177
1511,6983
1523,5849
1531,18455
1543,14546
1549,16320
1553,5936
1559,4909
1567,12448
1571,4002
1579,13207
1583,4033
1597,9573
1601,3250
1607,3426
1609,9195
1613,2430
1619,2788
1621,9616
1627,6196
1637,2415
1657,5424
1663,5512
1667,2112
1669,5194
1693,4014
1697,1434
1699,4120
1709,1685
1721,1412
1723,3476
1733,1158
1741,3708
1747,2751
1753,2241
1759,2526
1777,1996
1783,1672
1787,1081
1789,1838
1801,1758
1811,917
1823,747
1831,1534
1847,802
1861,1210
1867,878
1871,709
1873,861
1877,563
1879,837
1889,577
1901,478
1907,382
1913,412
1931,356
1933,659
1949,339
1951,665
1973,289
1979,266
1987,565
1993,414
1997,223
1999,523
2003,210
2011,492
2017,356
2027,157
2029,343
2039,174
2053,272
2063,128
2069,136
2081,89
2083,196
2087,93
2089,228
2099,88
2111,82
2113,145
2129,83
2131,212
2137,172
2141,54
2143,117
2153,56
2161,155
2179,119
2203,67
2207,42
2213,40
2221,119
2237,40
2239,77
2243,32
2251,83
2267,28
2269,77
2273,23
2281,61
2287,44
2293,42
2297,17
2309,26
2311,48
2333,13
2339,12
2341,29
2347,32
2351,11
2357,8
2371,17
2377,25
2381,7
2383,19
2389,20
2393,11
2399,9
2411,9
2417,4
2423,7
2437,10
2441,4
2447,10
2459,9
2467,17
2473,14
2503,8
2521,8
2531,2
2539,10
2543,2
2549,2
2551,8
2557,5
2579,3
2591,1
2593,10
2609,4
2617,10
2621,1
2647,4
2659,5
2663,2
2671,5
2677,4
2683,2
2687,2
2689,4
2699,1
2707,1
2711,2
2713,1
2719,3
2729,1
2731,1
2741,2
2753,1
2791,4
2797,2
2803,3
2837,1
2953,3
2971,1
3079,1
