n,mean_ratio,sem
1.995300000000000000e+04,1.293759564649583638e+00,1.721341443230644391e-03
2.277500000000000000e+04,1.291969796375064039e+00,1.700575240476577196e-03
2.599500000000000000e+04,1.296192176386586459e+00,1.613263241375791079e-03
2.967100000000000000e+04,1.295601562802822349e+00,1.626622202137391771e-03
3.386700000000000000e+04,1.298721967324279136e+00,1.436574897999857124e-03
3.865700000000000000e+04,1.293508637419272134e+00,1.319691395712326194e-03
4.412500000000000000e+04,1.303884678734284153e+00,1.376893446221758022e-03
5.036500000000000000e+04,1.299986971040208994e+00,1.232801590609019322e-03
5.748700000000000000e+04,1.307449760759808122e+00,1.169168227223710494e-03
6.561700000000000000e+04,1.303537793855793048e+00,1.089881362281344473e-03
7.489700000000000000e+04,1.307031382002021180e+00,1.090107116629010584e-03
8.548900000000000000e+04,1.309757600893984408e+00,1.073526378677502327e-03
9.758100000000000000e+04,1.307042739253372776e+00,9.509970724372578815e-04
1.113810000000000000e+05,1.307074345894874368e+00,9.521406580312042614e-04
1.271330000000000000e+05,1.308793277682957612e+00,8.908970565499314907e-04
1.451110000000000000e+05,1.310557303909734017e+00,7.853679929180742893e-04
1.656330000000000000e+05,1.311058519538635503e+00,7.829496826698582662e-04
1.890590000000000000e+05,1.312249489187557350e+00,7.997424458836601682e-04
2.157950000000000000e+05,1.309838640873551396e+00,6.817715629120882142e-04
2.463150000000000000e+05,1.311851775733862357e+00,6.670488774059360471e-04
2.811490000000000000e+05,1.314082076599064619e+00,6.797412893906916226e-04
3.209090000000000000e+05,1.314075766516655142e+00,6.230810099808637304e-04
3.662930000000000000e+05,1.313659895171562120e+00,5.768448084093179707e-04
4.180970000000000000e+05,1.313559426179748524e+00,5.728661650635238304e-04
4.772250000000000000e+05,1.314068978153255962e+00,5.310886472029880149e-04
5.447170000000000000e+05,1.315946146402240169e+00,5.182832883039901898e-04
6.217510000000000000e+05,1.314835803776895906e+00,4.905741564714833627e-04
7.096830000000000000e+05,1.317586885248734907e+00,4.383846302718396519e-04
8.100470000000000000e+05,1.315079715741725108e+00,4.198104844267448732e-04
9.246070000000000000e+05,1.314832896404093177e+00,4.039812402692510352e-04
1.055369000000000000e+06,1.316428903470407308e+00,3.919475413073350220e-04
1.204623000000000000e+06,1.317609036082475260e+00,3.691542313061891645e-04
1.374985000000000000e+06,1.316805580369760920e+00,3.628210230356834830e-04
1.569439000000000000e+06,1.317557536363088255e+00,3.242056077208432569e-04
1.791395000000000000e+06,1.317565877268303431e+00,3.065475555622949573e-04
2.044741000000000000e+06,1.318104567529313709e+00,2.869544011492310381e-04
2.333915000000000000e+06,1.318025180662005136e+00,2.719224192857037209e-04
2.663985000000000000e+06,1.317976225707733651e+00,2.649927729484174294e-04
3.040737000000000000e+06,1.318450944088157106e+00,2.587460406565398946e-04
3.470767000000000000e+06,1.318277798894392117e+00,2.416177075314874601e-04
3.961615000000000000e+06,1.318469087061596934e+00,2.277487214689739750e-04
4.521881000000000000e+06,1.318778795763256406e+00,2.007274452231051190e-04
5.161381000000000000e+06,1.318882742073699266e+00,1.966175362446696590e-04
5.891323000000000000e+06,1.318538617493553389e+00,1.936137495322593968e-04
6.724493000000000000e+06,1.318767817698542011e+00,1.873343649488885387e-04
7.675495000000000000e+06,1.318887022190226910e+00,1.803733682089267302e-04
8.760991000000000000e+06,1.319281603945932080e+00,1.604854862572417532e-04
1.584893100000000000e+07,1.319354344304219939e+00,1.279742016419771955e-04
2.511886500000000000e+07,1.319798618438069226e+00,1.025924791167844236e-04
3.981071700000000000e+07,1.319762147761560866e+00,8.903220333913167616e-05
6.309573500000000000e+07,1.319774686154671528e+00,7.567027484858684114e-05
9.999949900000000000e+07,1.319980644400864378e+00,5.783011705862100253e-05
