n,q_min
7,2
13,3
31,7
91,19
451,31
539,41
1397,47
1417,67
1777,79
3139,139
14419,181
39751,229
77507,233
96157,277
158173,307
214979,383
263113,421
496723,463
1046179,619
3415297,643
3546371,659
4306549,691
9456677,743
18338311,967
45521269,1231
243377803,1483
766707661,1609
1023263789,1931
8032822531,2389
92635306249,2719
151318414531,2791
352799777983,2953
646341033061,2971
853036242229,3079
1219130105959,3121
1417544549161,3217
1793724773809,3301
2816688182257,3319
2929019798513,3617
7151721330101,3719
8570124441113,3767
10154135153999,3851
13982148897511,3907
18115451658709,4093
19909053765571,4261
