n,q_min
7,1
9,3
19,5
21,7
55,17
115,29
193,47
323,61
611,73
1081,83
1571,277
10771,317
13067,349
16321,419
44881,503
57887,601
93167,709
189947,829
404939,877
442307,1129
1746551,1237
3383593,1367
3544391,1429
5056787,1669
7480667,1801
25619213,2467
87170987,2833
404940757,2879
526805663,3001
707095391,3037
1009465507,3329
1048720723,3821
5315914139,4861
25354866961,5003
64190408687,5281
65399862023,5821
220607894851,5897
248391483203,6301
304929017803,6329
332468180567,6421
511721895407,6481
587006777207,6841
