n,q_min
7,3
11,5
21,7
23,13
55,17
83,37
167,61
611,73
887,109
1487,181
1571,277
10771,317
12227,349
13523,397
16321,419
44881,503
54863,577
57887,601
93167,709
189947,829
404939,877
442307,1129
1746551,1237
3383593,1367
3544391,1429
5056787,1669
6811307,1993
25619213,2467
87170987,2833
404940757,2879
526805663,3001
707095391,3037
1009465507,3329
1048720723,3821
5315914139,4861
25354866961,5003
64190408687,5281
65399862023,5821
220607894851,5897
248391483203,6301
304929017803,6329
332468180567,6421
470243683103,7129
1683745467851,7309
2504885389271,7873
2695682504171,8017
5947609572643,8597
8567125268699,8821
12279230664247,8969
14480831322263,9157
