n,mean_ratio,sem
5.011900000000000000e+04,1.299703547099114287e+00,1.206439439136914888e-03
5.134500000000000000e+04,1.301165838544747544e+00,1.245864323101282664e-03
5.260300000000000000e+04,1.301484278040625497e+00,1.250808626507278519e-03
5.388900000000000000e+04,1.302595930387537404e+00,1.185563821501226574e-03
5.520900000000000000e+04,1.298672611741589433e+00,1.187104304397954783e-03
5.656100000000000000e+04,1.302514426831517191e+00,1.219591276458809092e-03
5.794500000000000000e+04,1.307786503806511957e+00,1.145987446979983195e-03
5.936300000000000000e+04,1.306335770730891799e+00,1.129636534730158424e-03
6.081700000000000000e+04,1.301642949846499864e+00,1.201589405944692227e-03
6.230500000000000000e+04,1.302329094684842925e+00,1.157421062961544673e-03
6.382900000000000000e+04,1.301321446228921985e+00,1.103140272802143789e-03
6.539300000000000000e+04,1.303129132750393326e+00,1.086589578415230210e-03
6.699300000000000000e+04,1.304668655995375737e+00,1.120417280542351790e-03
6.863300000000000000e+04,1.305139325231962966e+00,1.124003685940248550e-03
7.031300000000000000e+04,1.303585334056594602e+00,1.124109282642293340e-03
7.203300000000000000e+04,1.304227683862116960e+00,1.109178846332998418e-03
7.379700000000000000e+04,1.306779969557391397e+00,1.012108243072878944e-03
7.560300000000000000e+04,1.307132861941052937e+00,1.079039754772104362e-03
7.745300000000000000e+04,1.303992708958206181e+00,1.086053635061073842e-03
7.934900000000000000e+04,1.304661426495197230e+00,1.066244042399719632e-03
8.129100000000000000e+04,1.304067719371054590e+00,9.940686999472449908e-04
8.328100000000000000e+04,1.305938253917544367e+00,1.055121327781095245e-03
8.531900000000000000e+04,1.309325526934240091e+00,1.082023981914151433e-03
8.740900000000000000e+04,1.306008123854335290e+00,1.023305981880320284e-03
8.954700000000000000e+04,1.307119578692108597e+00,9.975474201019747956e-04
9.173900000000000000e+04,1.303891898217681922e+00,1.004451569372639920e-03
9.398500000000000000e+04,1.304686058049284059e+00,9.583064134139630255e-04
9.628500000000000000e+04,1.306655778034810922e+00,1.020004436159581895e-03
9.864300000000000000e+04,1.305485410578615335e+00,1.003486177675457511e-03
1.010570000000000000e+05,1.306930952779987942e+00,9.821951478422852322e-04
1.035310000000000000e+05,1.307885940861611029e+00,9.441493461055931085e-04
1.060650000000000000e+05,1.307576455648040259e+00,9.764073132007077644e-04
1.086610000000000000e+05,1.305952099344756201e+00,9.815534238315436720e-04
1.113210000000000000e+05,1.306785137640748218e+00,9.384874860889572817e-04
1.140450000000000000e+05,1.309519931583332575e+00,9.574381377012574235e-04
1.168370000000000000e+05,1.310165965587640757e+00,9.237458486018429969e-04
1.196970000000000000e+05,1.310128632735785281e+00,9.200686666914773210e-04
1.226270000000000000e+05,1.308579507259955088e+00,9.205216738158426316e-04
1.256290000000000000e+05,1.308429250874754812e+00,8.730348153521044806e-04
1.287030000000000000e+05,1.308274649145166890e+00,9.440872488388818212e-04
1.318530000000000000e+05,1.309376078657678466e+00,8.405884658243478139e-04
1.350810000000000000e+05,1.308230388380257958e+00,8.915723141750064125e-04
1.383870000000000000e+05,1.308614276211019112e+00,8.635298465333106051e-04
1.417750000000000000e+05,1.308800243467290514e+00,8.187466281242766286e-04
1.452450000000000000e+05,1.309417536933961568e+00,7.823310118479261110e-04
1.487990000000000000e+05,1.308767352366466463e+00,8.093391214301602632e-04
1.524430000000000000e+05,1.312108799250873314e+00,8.379535639863962184e-04
1.561730000000000000e+05,1.311721363341367574e+00,8.226991378807413076e-04
1.599970000000000000e+05,1.310509451739633846e+00,7.869058660188445967e-04
1.639130000000000000e+05,1.312506763541285482e+00,8.179811902813988872e-04
1.679250000000000000e+05,1.309095733850224708e+00,7.610792506960379396e-04
1.720350000000000000e+05,1.308492363052292440e+00,7.925941878732469968e-04
1.762450000000000000e+05,1.309055079990541381e+00,7.922739516522195064e-04
1.805590000000000000e+05,1.311490798157065152e+00,7.492500560786256002e-04
1.849790000000000000e+05,1.311043145708599811e+00,6.997373857410274164e-04
1.895070000000000000e+05,1.312935669565375107e+00,7.760839434739459988e-04
1.941450000000000000e+05,1.313746934391306187e+00,7.709707920904824508e-04
1.988970000000000000e+05,1.312520034799688817e+00,7.763698256718910536e-04
